Course code,Academic Year,Year,Season,Antal bestået,Antal tilmeldte,Eksamensgennemsnit,Fremmødte,Engelsk titel,Undervisningssprog,Point( ECTS ),Kursustype,Undervisningens placering,Undervisningsform,Kursets varighed,Evalueringsform,Eksamens varighed,Hjælpemidler,Bedømmelsesform,Institut,Mulighed for GRØN DYST deltagelse,Anbefalede forudsætninger,Obligatoriske forudsætninger,Ekstern samarbejdsinstitution
01001,2023-2024,2023,Winter,853,1072,"8,2",977,Mathematics 1a (Polytechnical foundation),Dansk,10,Bachelor,Campus Lyngby,"Per uge: 2 forelæsninger, 3 timers gruppearbejde/​​klasseundervisning og 4 timers skemalagt selvstudium. Derudover temaøvelser i nogle uger.",13-uger,"Skriftlig eksamen og bedømmelse af opgave(r) 2 dele: 1) 4 hjemmeopgavesæt (vægt 1/3), 2) Prøver i pensum (vægt 2/3). Præcis beskrivelse: https://mat1a.compute.dtu.dk/Info/Eksamensregler.html Eksamensvarighed Skriftlig eksamen: 4 timer 2+2 timer",,Tilladt,ekstern censur,Institut01 Institutfor Matematik og Computer Science,Ikke oplyst,,,
01001,2023-2024,2024,Summer,39,72,"4,4",63,Mathematics 1a (Polytechnical foundation),Dansk,10,Bachelor,Campus Lyngby,"Per uge: 2 forelæsninger, 3 timers gruppearbejde/​​klasseundervisning og 4 timers skemalagt selvstudium. Derudover temaøvelser i nogle uger.",13-uger,"Skriftlig eksamen og bedømmelse af opgave(r) 2 dele: 1) 4 hjemmeopgavesæt (vægt 1/3), 2) Prøver i pensum (vægt 2/3). Præcis beskrivelse: https://mat1a.compute.dtu.dk/Info/Eksamensregler.html Eksamensvarighed Skriftlig eksamen: 4 timer 2+2 timer",,Tilladt,ekstern censur,Institut01 Institutfor Matematik og Computer Science,Ikke oplyst,,,
01002,2023-2024,2024,Summer,700,941,"7,6",864,Mathematics 1b (Polytechnical Foundation),Dansk,10,Bachelor,Campus Lyngby,"Pr. uge: 2 forelæsninger, 3 timers gruppearbejde/​​klasseundervisning og 3 timers skemalagt selvstudium. Derudover temaøvelser og projektarbejde i nogle uger.",13-uger,"Skriftlig eksamen og bedømmelse af opgave(r) Skriftlig eksamen og afleveringsopgaver med følgende vægte: 1) 3 hjemmeopgavesæt (vægt 2/5), 2) 4-timers skriftlig eksamen (vægt 3/5). Præcis beskrivelse: https://01002.compute.dtu.dk Eksamensvarighed Skriftlig eksamen: 4 timer",,Tilladt,ekstern censur,Institut01 Institutfor Matematik og Computer Science,Måske,"01001 / 01003 , Senest    samtidig",,
01003,2023-2024,2023,Winter,168,200,"8,7",188,Mathematics 1a (Polytechnical foundation),Engelsk,10,Bachelor,Campus Lyngby,"Per uge: 2 forelæsninger, 3 timers gruppearbejde/​​klasseundervisning og 4 timers skemalagt selvstudium. Derudover temaøvelser i nogle uger.",13-uger,"Skriftlig eksamen og bedømmelse af rapport(er) 2 dele: 1) 4 hjemmeopgavesæt (vægt 1/3), 2) Prøver i pensum (vægt 2/3). Præcis beskrivelse: https://math1a.compute.dtu.dk/Info/ExamRules.html Eksamensvarighed Skriftlig eksamen: 4 timer 2+2 timer",,Tilladt,ekstern censur,Institut01 Institutfor Matematik og Computer Science,Ikke oplyst,,,
01003,2023-2024,2024,Summer,10,18,"4,5",18,Mathematics 1a (Polytechnical foundation),Engelsk,10,Bachelor,Campus Lyngby,"Per uge: 2 forelæsninger, 3 timers gruppearbejde/​​klasseundervisning og 4 timers skemalagt selvstudium. Derudover temaøvelser i nogle uger.",13-uger,"Skriftlig eksamen og bedømmelse af rapport(er) 2 dele: 1) 4 hjemmeopgavesæt (vægt 1/3), 2) Prøver i pensum (vægt 2/3). Præcis beskrivelse: https://math1a.compute.dtu.dk/Info/ExamRules.html Eksamensvarighed Skriftlig eksamen: 4 timer 2+2 timer",,Tilladt,ekstern censur,Institut01 Institutfor Matematik og Computer Science,Ikke oplyst,,,
01004,2023-2024,2024,Summer,148,185,"8,2",178,Mathematics 1b (Polytechnical Foundation),Engelsk,10,Bachelor,Campus Lyngby,"Pr. uge: 2 forelæsninger, 3 timers gruppearbejde/​​klasseundervisning og 3 timers skemalagt selvstudium. Derudover temaøvelser og projektarbejde i nogle uger.",13-uger,Skriftlig eksamen og bedømmelse af opgave(r) 2 dele med vægtning: 1) Hjemmeopgaver (3 stk) (vægt 2/5) 2) Skriftlig eksamen. (Vægt 3/5) Præcis beskrivelse: https://01004.compute.dtu.dk Eksamensvarighed Skriftlig eksamen: 4 timer,,Tilladt,ekstern censur,Institut01 Institutfor Matematik og Computer Science,Måske,"01001 / 01003 , Senest    samtidig",,
01005,2017-2018,2018,Summer,740,1116,"8,4",1084,Advanced Engineering Mathematics 1,Dansk,20,Bachelor,Campus Lyngby,"Pr. uge: 2 forelæsninger, 3 timers gruppearbejde/​klasseundervisning og 3 timers skemalagt selvstudium. Derudover temaøvelser og projektarbejde i nogle uger.",13-uger + 13-uger,"Skriftlig eksamen og bedømmelse af rapport(er) 4 dele med lige stor vægt: 1) 7 hjemmeopgavesæt, 2) Prøver i efterårspensum, 3) 3-ugers projektrapport med mundtligt forsvar og 4) Prøver i forårsspensum. Præcis beskrivelse: http://01005.mat.dtu.dk/info/eksamensregler/",1-times prøver i løbet af semesteret og 3-timers afsluttende prøver,Tilladt,ekstern censur,Institut01 Institutfor Matematik og Computer Science,Måske,,,
01005,2018-2019,2019,Summer,792,1126,"5,4",1070,Advanced Engineering Mathematics 1,Dansk,20,Bachelor,Campus Lyngby,"Pr. uge: 2 forelæsninger, 3 timers gruppearbejde/​klasseundervisning og 3 timers skemalagt selvstudium. Derudover temaøvelser og projektarbejde i nogle uger.",13-uger + 13-uger,"Skriftlig eksamen og bedømmelse af rapport(er) 4 dele med lige stor vægt: 1) 7 hjemmeopgavesæt, 2) Prøver i efterårspensum, 3) 3-ugers projektrapport med mundtligt forsvar og 4) Prøver i forårsspensum. Præcis beskrivelse: http://01005.compute.dtu.dk/Info-Eksamensregler",1-times prøver i løbet af semesteret og 3-timers afsluttende prøver,Tilladt,ekstern censur,Institut01 Institutfor Matematik og Computer Science,Måske,,,
01005,2019-2020,2020,Summer,804,1093,"8,8",996,Advanced Engineering Mathematics 1,Dansk,20,Bachelor,Campus Lyngby,"Pr. uge: 2 forelæsninger, 3 timers gruppearbejde/​klasseundervisning og 3 timers skemalagt selvstudium. Derudover temaøvelser og projektarbejde i nogle uger.",13-uger + 13-uger,"Skriftlig eksamen og bedømmelse af rapport(er) 4 dele med lige stor vægt: 1) 7 hjemmeopgavesæt, 2) Prøver i efterårspensum, 3) 3-ugers projektrapport med mundtligt forsvar og 4) Prøver i forårsspensum. Præcis beskrivelse: http://01005.compute.dtu.dk/Info-Eksamensregler",1-times prøver i løbet af semesteret og 3-timers afsluttende prøver,Tilladt,ekstern censur,Institut01 Institutfor Matematik og Computer Science,Måske,,,
01005,2020-2021,2021,Summer,923,1420,"8,5",1339,Advanced Engineering Mathematics 1,Dansk,20,Bachelor,Campus Lyngby,"Pr. uge: 2 forelæsninger, 3 timers gruppearbejde/​klasseundervisning og 3 timers skemalagt selvstudium. Derudover temaøvelser og projektarbejde i nogle uger.",13-uger + 13-uger,"Skriftlig eksamen og bedømmelse af rapport(er) 4 dele med lige stor vægt: 1) 7 hjemmeopgavesæt, 2) Prøver i efterårspensum, 3) 3-ugers projektrapport med mundtligt forsvar og 4) Prøver i forårsspensum. Præcis beskrivelse: http://01005.compute.dtu.dk/Info-Eksamensregler",1-times prøver i løbet af semesteret og 3-timers afsluttende prøver,Tilladt,ekstern censur,Institut01 Institutfor Matematik og Computer Science,Måske,,,
